รหัสเขตสุขภาพ,จังหวัด,ชื่อโรงพยาบาล,ชื่อ_รพ_ภาษาอังกฤษ,รหัส H Code,สังกัด,ชนิด รพ.,จำนวนเตียงที่ขอ,จำนวนเตียงเปิดจริง,สถานะ,สถานะการขอรับรอง,ระยะทางห่างจากอ.เมือง,ความเชี่ยวชาญพิเศษ,ประชากรที่รับผิดชอบ,จำนวนผู้รับบริการ,จำนวนผู้ป่วยนอก,จำนวนผู้ป่วยใน,อัตราการครองเตียง,วันนอนเฉลี่ยต่อคน,กลุ่มผู้ป่วยโรคสำคัญ
9,ชัยภูมิ,โรงพยาบาลซับใหญ่,SUBYAI HOSPITAL,4007,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10,5,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,พระนครศรีอยุธยา,โรงพยาบาลพระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA HOSPITAL,10660,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),524,524,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลสระบุรี,SARABURI HOSPITAL,10661,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),680,700,TRUE,NULL,0,ความเชี่ยวชาญพิเศษ,0,0,0,0,0,0,โรคสำคัญ
6,ชลบุรี,โรงพยาบาลชลบุรี,CHONBURI HOSPITAL,10662,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),832,850,TRUE,เขียนรายงาน,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ระยอง,โรงพยาบาลระยอง,RAYONG HOSPITAL,10663,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),600,620,TRUE,อยู่ระหว่างต่ออายุ,0,การบริการทางการแพทย์ด้านตติยภูมิ การบริการด้านอาชีวเวชศาตร์  และระบบการจัดการภาวะฉุกเฉิน  ,283381,ปี 2563 (635000),639439,42702,102,5,"Sepsis,Stroke,AMI,Trumatic Brain Injury,PIH,Abdominal injuryPPHN,PE,Diabetic retinopathy,Occupational Noise Induced Hearing loss"
6,จันทบุรี,โรงพยาบาลพระปกเกล้า,PRAPOKKLAO HOSPITAL,10664,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),755,840,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ปราจีนบุรี,โรงพยาบาลเจ้าพระยาอภัยภูเบศร,CHAOPHYA ABHAI BHUBEJHR HOSPITAL ,10665,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),650,500,TRUE,NULL,0,"<br />1.	การดูแลผู้ป่วยโรคหัวใจโดยการสวนหัวใจและหลอดเลือด<br />2.	การดูแลโรคหลอดเลือดสมองแบบครบวงจร รวมถึงการการดูแลแบบผสมผสานกับการแพทย์แผนไทย<br />3.	การดูแลโรคระบบทางเดินหายใจที่มีภาวะการหายใจล้มเหลว (Respiratory Failure)<br />4.	การดูแลผู้ป่วยวิกฤตและผู้ป่วยฉุกเฉินแบบครบวงจร<br />5.	การดูแลทารกแรกเกิดที่มีน้ำหนักน้อยและมีภาวะแทรกซ้อน<br />6.	การดูแลผู้ป่วยโดยใช้การแพทย์แผนไทย สมุนไพร และการแพทย์ผสมผสาน<br />7.	การดูแลผู้ป่วยผ่าตัดแบบวันเดียวกลับ (One Day Surgery : ODS) และ minimal invasive surgery (MIS)",235215,ปี 2564 (เดือนตุลาคม 2563 - กันยายน 2564),590111,34960,121.89,220216,"1. DM/HT   <br />2. STEMI  <br />3. Stroke (Ischemic and Hemorrhagic Stroke)  <br />4. Sepsis  <br />5. Pneumonia  <br />6. Cancer <br />7. Very Low Birth Weight : PPHN, RDS  <br />8. Traumatic Brain Injury <br />9. COVID-19"
9,นครราชสีมา,โรงพยาบาลมหาราชนครราชสีมา,MAHARAT NAKHON RATCHASIMA HOSPITAL,10666,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1300,1300,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,บุรีรัมย์,โรงพยาบาลบุรีรัมย์,BURIRAM HOSPITAL,10667,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),625,887,TRUE,เขียนรายงาน,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,สุรินทร์,โรงพยาบาลสุรินทร์,SURIN HOPITAL,10668,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),914,914,TRUE,เขียนรายงาน,0,ให้บริการ Excellence Center 5 สาขา ได้แก่ สาขาอุบัติเหตุและฉุกเฉิน สาขาโรคมะเร็ง สาขาหัวใจ สาขาทารกแรกเกิด สาขาปลูกถ่ายอวัยวะ,262577,2564 (ตุลาคม 2563-พฤษภาคม 2564),405807,39465,87.66,4.93,"1. กลุ่มผู้ป่วยวิกฤตฉุกเฉิน ได้แก่ Stroke, STEMI, Trauma, Sepsis<br />2. กลุ่มผู้ป่วยโรคเรื้อรัง ได้แก่ DM, HT, CKD<br />3. กลุ่มมารดาและทารก"
10,อุบลราชธานี,โรงพยาบาลสรรพสิทธิประสงค์,SUNPASITTHIPRASONG HOSPITAL,10669,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1118,1300,TRUE,เขียนรายงาน,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,ขอนแก่น,โรงพยาบาลขอนแก่น,KHONKAEN HOSPITAL,10670,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1000,1000,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,อุดรธานี,โรงพยาบาลอุดรธานี,UDONTHANI HOSPITAL,10671,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1100,1134,TRUE,NULL,0,"1. excellent center : cardiac, trauma, cancer, newborn, transplant<br />2. surgery : cardiac and thoracic surgery, spine surgery, neuro surgery, minimal invasive surgery, laparoscopic surgery, burn unit<br />3. rehabilitation : กายอุปกรณ์",157531,ปี 2564 (1 ตุลาคม 2563 - 31 มีนาคม 2564),450907,403450,89.73,4.97,"1. high risk : stroke, STEMI, sepsis, pneumonia, trauma, high risk pregnancy, VLBW<br />2. high volumn : NCD, CKD, thalassemia, cataract, appendicitis<br />3. high cost : AAA surgery, knee/hip replacement, spine surgery<br />4. new evidence/ technology : minimal invasive surgery, laparoscopic surgery<br />5. complex care : sepsis, trauma, cancer, transplant"
1,ลำปาง,โรงพยาบาลลำปาง,LAMPANG HOSPITAL,10672,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),800,810,TRUE,NULL,49,การให้บริการทางการแพทย์ระดับทุติยภูมิ ตติยภูมิระดับกลาง ความสัมพัน์กับภาคีเครือข่ายแข้มแข็ง,131196,จำนวนผู้รับบริการ ปี 2563 (เดือนตุลาคม 2562–เดือนมิถุนายน 2563),176251,9572,66.53,3.79,"กลุ่มผู้ป่วยโรคสำคัญ คือ 1) กลุ่มโรคสำคัญ: Sepsis stemi Stroke,Rupture Appendicitis, TBI, Chest  injury, PIH, Ectopic Pregnancy, Birth asphyxia, neonatal sepsis, # femer, failed implant 2) โรคเรื้อรังที่เป็นปัญหาได้แก่ DM, HT, CKD 3) โรคที่ต้องเฝ้าระวังได้แก่ DHF, TB, HIV เชื้อดื้อยา 4) ภัยสุขภาพ : จมน้ำ อุบัติเหตุจราจร"
2,อุตรดิตถ์,โรงพยาบาลอุตรดิตถ์,UTTARADIT HOSPITAL,10673,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),620,655,TRUE,รอการจัดเยี่ยมสำรวจ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,เชียงราย,โรงพยาบาลเชียงรายประชานุเคราะห์,CHIANGRAI PRACHANUKROH HOSPITAL,10674,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),756,758,TRUE,เขียนรายงาน,0,- โรงพยาบาลตติยภูมิ ระดับ A ให้บริการ ส่งเสริม ป้องกัน รักษา ฟื้นฟูสภาพผู้ป่วยทุกสาขา ในโรงพยาบาลและหน่วยบริการปฐมภูมิ (PCU)<br />- ดูแลรักษาผู้ป่วยที่ส่งต่อมาจากโรงพยาบาลในเขตสุขภาพล้านนา 3 (เชียงราย–พะเยา) อำเภอฝาง อำเภอไชยปราการ และอำเภอแม่อาย จังหวัดเชียงใหม่ <br />- เป็นสถาบันผลิตแพทย์ระดับปริญญาในโครงการผลิตแพทย์เพื่อชาวชนบท (Undergraduate)/ สถาบันหลัก/สมทบในการฝึกอบรมแพทย์ประจำบ้านของแพทยสภา (Postgraduate) สถานฝึกปฏิบัติงานของนักศึกษาพยาบาล  และนักศึกษาสาขาต่างๆ,1282544,"ปี 2564 (844,676)",784032,60644,98.02,4.54,"- กลุ่มโรคเรื้อรัง เช่น DM, Hypertension, CKD ที่ต้องรับยาต่อเนื่อง<br />- กลุ่มโรคติดเชื้อ AIDS, TB , Sepsis<br />- กลุ่มโรคจิตเวช<br />- กลุ่มค่าใช้จ่ายสูง เช่น เชื้อดื้อยา<br />- อุบัติเหตุและฉุกเฉิน<br />- กลุ่มโรคผู้ป่วยแม่และเด็ก (PPH, PIH, Teenage pregnancy)<br />- กลุ่มอาการและโรคเนื่องจากฝุ่นควัน<br />- โรคอุบัติใหม่ อุบัติซ้ำ <br />- กลุ่มโรคระบาดตามฤดูกาลในท้องถิ่น เช่น ไข้เลือดออก ไข้หวัดใหญ่ โรคมือเท้าปาก<br />- มะเร็งระบบต่างๆ"
3,นครสวรรค์,โรงพยาบาลสวรรค์ประชารักษ์,SAWANPRACHARAK HOSPITAL,10675,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),700,700,TRUE,NULL,1,• มีสมรรถนะในด้านบริการระดับตติยภูมิครอบคลุมทุกสาขา และความเชี่ยวชาญระดับสูง 5สาขา ได้แก่ สาขาอุบัติเหตุ สาขามะเร็ง สาขาหัวใจ สาขาทารกแรกเกิด และสาขารับบริจาคและปลูกถ่ายอวัยวะของเขตสุขภาพที่ 3<br />• มีความเชี่ยวชาญในการผ่าตัดและรักษาโรคแบบ Minimal Invasive surgery <br />• มีสมรรถนะด้านการบริหารจัดการและพัฒนาระบบบริการปฐมภูมิเชื่อมโยงกับระดับทุติยภูมิตติยภูมิในเครือข่ายบริการโดยเฉพาะการดูแลโรคไม่ติดต่อเรื้อรัง(NCD) แบบองค์รวม<br />• มีสมรรถนะด้านการศึกษาวิจัย การเรียนรู้ สร้างนวัตกรรม ทางด้านสาธารณสุข และถ่ายทอดองค์ความรู้ด้านการส่งเสริมสุขภาพ ควบคุมป้องกันโรค รักษาพยาบาล และฟื้นฟูสภาพ แก่บุคลากรทางการแพทย์สาธารณสุขและประชาชน<br />• มีสมรรถนะด้านการเรียนการสอนโดยเป็นสถาบันฝึกอบรมแพทย์ประจำบ้าน ผลิตบัณฑิตแพทย์และบุคลากรสาธารณสุขหลายสาขา    ,1040308,"ปี 2564 (ต.ค.63-ก.ย.64) 632,516 คน",489086,49529,102.82,5.3,5 อันดับโรคผู้ป่วยนอกปีงบ 2564<br />1.Hypertension (ความดันโลหิตสูง) <br />จำนวน 15603 ร้อยละ 3.19<br />2.Diabetes mellitus  (เบาหวาน)   <br />จำนวน 8772 ร้อยละ 1.79<br />3.Renal failure (ไตวาย) <br />จำนวน 5270 ร้อยละ 1.08<br />4.Dyspepsia  (อาหารไม่ย่อย) <br />จำนวน 3492 ร้อยละ 0.71<br />5. Ischemic heart disease(หัวใจขาดเลือด)<br />จำนวน 2955 ร้อยละ 0.60<br /><br />5 อันดับโรคผู้ป่วยใน (เฉพาะโรคหลัก)<br />1.Pneumonia (ปอดบวม)<br />จำนวน 2672 ร้อยละ 5.39<br />2.CVA (โรคหลอดเลือดสมอง) <br />จำนวน 2298 ร้อยละ 4.64<br />3.Senile cataract (ต้อกระจกในผู้สูงอายุ) <br />จำนวน 1387 ร้อยละ 2.80<br />4.Intracranial injury (บาดเจ็บในกระโหลกศรีษะ) <br />จำนวน 1252 ร้อยละ 2.53<br />5. Acute pharyngitis  (คอหอยอักเสบเฉียบพลัน) <br />จำนวน 914 ร้อยละ 1.85<br /><br />5 อันดับโรคผู้ป่วยใน (โรคหลักและโรคร่วม)<br />1. Hypertension (ความดันโลหิตสูง)<br />จำนวน 12030 ร้อยละ 24.29<br />2.Hypokalemia  (ขาดโพแทสเซียม)<br />จำนวน 7417 ร้อยละ 14.98<br />3.Diabetes mellitus  (เบาหวาน)<br />จำนวน 6742 ร้อยละ 13.61<br />4.Renal failure (ไตวาย)<br />จำนวน 6185 ร้อยละ 12.49<br />5.Anemia  (เลือดจาง)<br />จำนวน 5384 ร้อยละ 10.87
2,พิษณุโลก,โรงพยาบาลพุทธชินราช พิษณุโลก,BUDDHACHINARAJ  PHITSANULOK  HOSPITAL,10676,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1000,1179,TRUE,รอการจัดเยี่ยมสำรวจ,0,ศูนย์เชี่ยวชาญและเชี่ยวชาญระดับสูง และเป็นศูนย์ฝึกอบรมบุคลากรทางการแพทย์,268161,ปี 2564 (ต.ค. 63-ก.ย. 64),756131,57656,91,6.1,1. โรคหัวใจและหลอดเลือดสมอง<br />2. โรคมะเร็ง<br />3. Severe multiple trauma<br />4. Traumatic brain injury<br />5. Severe sepsis<br />6. โรคของมารดาและทารก<br />7. Organ failure
5,ราชบุรี,โรงพยาบาลราชบุรี,RATCHABURI HOSPITAL,10677,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),855,855,TRUE,รอการจัดเยี่ยมสำรวจ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,สุพรรณบุรี,โรงพยาบาลเจ้าพระยายมราช,CHAOPHRAYA YOMMARAT HOSPITAL,10678,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),680,706,TRUE,NULL,0,"1. มีความสามารถให้บริการตติยภูมิระดับสูงทุกสาขา โดยเฉพาะในสาขาหัวใจ ทารกแรกเกิด      การบาดเจ็บและภาวะฉุกเฉิน มะเร็ง Stroke Sepsis ผ่าตัดส่องกล้อง และทันตกรรม และการดูแลรักษาผู้ป่วยโควิด19 ที่มีอาการรุนแรง<br />2. มีความสามารถจัดบริการสุขภาพปฐมภูมิตามหลักเวชศาสตร์ครอบครัวที่เชื่อมโยง<br />บริการระดับทุติยภูมิและตติยภูมิอย่างเป็นรูปธรรม	<br />3. มีความสามารถด้านการจัดการเรียนการสอนในการร่วมผลิตแพทย์และฝึกอบรมบุคลากรทางการแพทย์เป็นเลิศ <br />",88560,ปี 2564,813697,40293,93.14,5.74,COVID-19<br />ปอดบวม<br />STEMI<br />Stroke<br />Sepsis<br />Traumatic Brain Injury<br />Multiple Trauma<br />DHF<br />Birth Asphyxia<br />มะเร็งลำใส้<br />
5,นครปฐม,โรงพยาบาลนครปฐม,NAKHONPATHOM HOSPITAL,10679,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),722,860,TRUE,จัดทำใบประกาศนียบัตร,0,1. ทีมนำองค์กรมีวิสัยทัศน์ชัดเจน และบุคลากรมีค่านิยมร่วมกัน<br />2. ศูนย์บริการทางการแพทย์เฉพาะทาง (Excellent Center of Cardio and Vascular Intervention)<br />3. โรงพยาบาลรัฐระดับตติยภูมิในเขตปริมณฑลที่บุคลากรทางการแพทย์มีทักษะและความเชี่ยวชาญ<br />4. สถาบันฝึกอบรมและถ่ายทอดความรู้ด้านวิทยาศาสตร์สุขภาพ มุ่งเน้นการพัฒนาบุคลากรทางวิชาการงานวิจัยและนวตกรรม,0,2563,901155,47259,92.42,5.15,1. หัวใจ<br />2. อุบัติเหตุ<br />3. ปลูกถ่ายอวัยวะ<br />4. มะเร็ง<br />5. ทารกแรกเกิด <br />6. Maxilofacial<br />7. นิติเวชวิทยา
11,นครศรีธรรมราช,โรงพยาบาลมหาราชนครศรีธรรมราช,MAHARAJ NAKHON SI THAMMARAT HOSPITAL,10680,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),863,756,TRUE,NULL,0,1.เป็นศูนย์ความเชี่ยวชาญ สาขาอุบัติเหตุ สาขาทารกแรกเกิด สาขาโรคหัวใจและหลอดเลือด  สาขามะเร็ง <br />2.บริการระดับตติยภูมิ ครอบคลุมทุกสาขาโรคหลัก <br />3.เป็นศูนย์แพทยศาสตรศึกษาชั้นคลินิก และเป็นสถาบันฝึกอบรมบุคลากรทางการแพทย์<br />,179139,"551,740 (ตุลาคม 2563 - มิถุนายน 2564)",5092268,42514,103.86,5.06,"PCT สูตินรีเวชกรรมได้แก่<br />1.Preterm Labor<br />2. Postpartum Hemorrhage<br />3. Gestational Diabetic Mellitus<br />4. Palliative care ในมะเร็งทางนรีเวช<br /><br />PCT ศัลยกรรม ได้แก่<br />1.  Severe head injury, Multiple injury<br />2. Open heart surgery<br />3. Breast cancer, Colorectal cancer, CA Prostate<br />4.Laparoscopic cholecystectomy, Colectomy, Wound care, Acute Appendicitis in children<br /><br />PCT อายุรกรรม ได้แก่<br />1. โรคหัวใจ<br />2. โรคหลอดเลือดสมอง<br />3. โรคไต<br />4. Sepsis <br />5. วัณโรค ผู้ป่วยติดเชื้อเอสไอวี/เอดส์<br /><br />PCT กุมารเวชกรรม ได้แก่<br />- Preterm  - Asphyxia  - PPHN  - Sepsis  - Dengue infection  - Asthma<br />- Pediatric cancer  - Global delay development<br /><br />PCT ออร์โธปิดิกส์ ได้แก่<br />Spine surgery<br />2. ACL injury<br />3. Hip and knee arthroplasty<br />4. Open fracture long bone<br /><br />PCT จักษุวิืยา ได้แก่<br />การดูแลรักษาผู้ป่วยอุบัติเหตุทางตา<br /><br />PCT โสต ศอ นาสิก ได้แก่<br />การดูแลรักษาผู้ป่วยมะเร็งหู คอ จมูก และ palliative care <br /><br /><br />                     <br />"
11,สุราษฎร์ธานี,โรงพยาบาลสุราษฎร์ธานี,SURATTHANI HOSPITAL,10681,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),500,811,TRUE,เขียนรายงาน,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,สงขลา,โรงพยาบาลหาดใหญ่,HATYAI HOSPITAL,10682,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),700,759,TRUE,(คณะอนุกรรมการ)พิจารณารับรอง,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,ตรัง,โรงพยาบาลตรัง,TRANG  HOSPITAL,10683,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),555,553,TRUE,จัดทำใบประกาศนียบัตร,1,"การให้บริการด้านตติยภูมิด้านอุบัติเหตุ โรคหัวใจ(PCI,CABG) มะเร็ง(CA Colon, CA breast, Head and neck cancer, ศูนย์เคมีบำบัด) และ Newborn(NICU,UNHS, referral centre for neuro-otology) รังสีร่วมรักษา(Neuro-intervention) การผ่าตัดกระดูกสันหลัง(spine orthopedist and spine neurosurgeom) การฟอกไต การตรวจการนอนหลับ การผ่าตัดฝังประสาทหูเทียม อายุรศาสตร์โลหิตวิทยา ศัลยกรรมตกแต่ง การดูแลผู้ป่วยไฟไหม้ เวชบำบัดวิกฤต จิตเวชเด็กและวัยรุ่น",643116,ปี 2565 (เดือนตุลาคม 2564 - เดือนธันวาคม 2564),122330,14418,79.95,6.66,โรคที่พบบ่อยของผู้ป่วยนอก คือ <br />1) Hypertension (ความดันโลหิตสูง) 2) Dyslipidemia (ไขมันในเลือดผิดปกติ ) 3) Diabetes mellitus (เบาหวาน)  4) Chronic kidney disease ( โรคไต ) 5) Acute nasopharyngitis (Common cold) ( ไข้หวัด ) <br />โรคที่พบบ่อยของผู้ป่วยใน คือ                           <br />1) Cerebral infarction (เนื้อสมองตายจากขาดเลือด) 2) Other gastroenteritis and colitis of infectious and unspecified origin 3) Pneumonia (ปอดบวม) 4) Senile cataract(ต้อกระจกที่เกิดในผู้สูงอายุ) 5) Appendicitis (โรคของไส้ติ่ง) <br />สาเหตุการเสียชีวิตของผู้ป่วยในที่พบบ่อย คือ <br />1. Motorcycle rider injured in transport accident (อุบัติเหตุจากรถมอเตอร์ไซด์) 2. Pneumonia(ปอดบวม) 3)  Intracerebral hemorrhage (nontraumatic) (เลือดออกในสมองใหญ่) 4) Diabetes mellitus (เบาหวาน) 5) Acute  myocardial infarction (กล้ามเนื้อหัวใจตายเฉียบพลัน)
12,ยะลา,โรงพยาบาลยะลา,YALA HOSPITAL,10684,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),527,458,TRUE,รอเข้าคณะอนุกรรมการพิจารณา,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,สมุทรปราการ,โรงพยาบาลสมุทรปราการ,SAMUTPRAKAN HOSPITAL,10685,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),415,600,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,นนทบุรี,โรงพยาบาลพระนั่งเกล้า,PRANANGKLAO HOSPITAL,10686,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),610,620,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ปทุมธานี,โรงพยาบาลปทุมธานี,PATHUMTHANI HOSPITAL,10687,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),377,377,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,พระนครศรีอยุธยา,โรงพยาบาลเสนา,SENA HOSPITAL,10688,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),208,208,TRUE,ยืนยันการเยี่ยม,20,"มีแพทย์ Neuro med, ศัลยกรรมกระดูกและข้อ จบ Fellow ด้าน เข่า, Spine และ Sport<br />บริการสาขารอง ได้แก่ จักษุ (มีแพทย์เฉพาะทางผ่าตัด Glaucoma) หูคอจมูก  แพทย์ทางเลือก (แผนไทย,แผนจีน) มีเครื่องไตเทียม และเครื่อง CT Scan (ระบบเช่า) มีสัมพันธภาพที่ดีกับชุมชน<br />LAB: ตรวจ PCR ได้เอง (เปิดให้บริการ กย.64)",208939,257178,257178,13933,119.64,6.52,"""Community based: NCD (DM, HT)<br />Hospital Based: MI, Stroke, Sepsis, Pneumonia<br />โรคระบาด: Covid 19""<br />"
4,อ่างทอง,โรงพยาบาลอ่างทอง,ANGTHONG HOSPITAL,10689,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),324,324,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ลพบุรี,โรงพยาบาลพระนารายณ์มหาราช,KING NARAI HOSPITAL,10690,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),536,548,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ลพบุรี,โรงพยาบาลบ้านหมี่,BANMI HOSPITAL,10691,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),258,258,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สิงห์บุรี,โรงพยาบาลสิงห์บุรี,SINGBURI HOSPITAL,10692,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),282,282,TRUE,NULL,0,"การดูแลผู้ป่วยไตวายเรื้อรัง, การดูแลผู้ป่วยโรคหลอดเลือดสมอง(stroke)",54549,ปี 2563 (เดือนตุลาคม 2562 - เดือนกันยายน 2563),302396,22895,72.15,203,1. Hypertension  2. Diabetes mellitus   3. Chronic kidney disease  
4,สิงห์บุรี,โรงพยาบาลอินทร์บุรี,INBURI HOSPITAL,10693,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),254,180,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,ชัยนาท,โรงพยาบาลชัยนาทนเรนทร,JAINADNARENDRA HOSPITAL,10694,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),348,353,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลพระพุทธบาท,PHRAPHUTTHABAT HOSPITAL,10695,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),315,315,TRUE,รอการจัดเยี่ยมสำรวจ,27,-,148379,ปี 2563,319632,16404,81,6,-
6,ตราด,โรงพยาบาลตราด,TRAT HOSPITAL,10696,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),340,358,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ฉะเชิงเทรา,โรงพยาบาลพุทธโสธร,BUDDHASOTHORN HOSPITAL,10697,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),561,585,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,นครนายก,โรงพยาบาลนครนายก,NAKHON NAYOK HOSPITAL,10698,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),360,314,TRUE,NULL,1,test,100000,2561,100000,50000,97,0,test
